bandsite,markerNumber,code,depRunID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
BP,1811-65688,,,18352646,,,,,,,,,,,
SEAL,1861-31367,,,19547904,18520339,,,,,,,,,,
SEAL,1861-31373,,,6052227,,,,,,,,,,,
SEAL,1861-31384,,,20887396,,,,,,,,,,,
BP,1861-31448,,,18354343,18354151,,,,,,,,,,
BP,1861-32175,,5230088,5230088,19494728,,,,,,,,,,
BP,1861-32228,X,,,,,,,,,,,,,
SEAL,1861-32243,,,18520143,,,,,,,,,,,
SEAL,1861-32253,X,,6050586,,,,,,,,,,,
SEAL,1861-32267,,,18518605,,,,,,,,,,,
SEAL,1861-32276,,,18520138,,,,,,,,,,,
SEAL,1861-32282,,,18520342,18520158,,,,,,,,,,
SEAL,1861-32287,,6051013,6051013,18350859,,,,,,,,,,
SEAL,1861-32296,X,,,,,,,,,,,,,
SEAL,1861-32297,X,,,,,,,,,,,,,
BP,1861-32321,X,,,,,,,,,,,,,
SEAL,1861-32426,,,6048188,,,,,,,,,,,
SEAL,1861-32475,,,20892541,20888345,20888251,20888053,,,,,,,,
SEAL,1861-32477,,,20904301,20890640,20882156,20880881,20879923,,,,,,,
SEAL,1861-32484,X,,20899845,,,,,,,,,,,
SEAL,1861-32486,,20883433,20883433,20882212,20935018,,,,,,,,,
SEAL,1861-32495,,,20888260,20898814,,,,,,,,,,
SEAL,1861-32496,,20884441,20884441,21081998,,,,,,,,,,
SEAL,1861-32499,X,,,,,,,,,,,,,
SEAL,1861-32512,Q,18518672,19542440,18518672,19545422,19546455,,,,,,,,
SEAL,1861-32513,,,19544447,6048191,,,,,,,,,,
SEAL,1861-32514,,,20887138,20896804,,,,,,,,,,
SEAL,1861-32523,Q,18515301,18515301,18334444,19543371,,,,,,,,,
SEAL,1861-32526,Q,6049106,18516345,6049106,6047556,,,,,,,,,
SEAL,1861-32527,X,,,,,,,,,,,,,
SEAL,1861-32528,,,6049694,18519631,18520135,,,,,,,,,
SEAL,1861-32533,,,19541512,6047549,19547305,19547933,19548892,18518694,,,,,,
SEAL,1861-32535,,,19538771,18515535,18515932,18515588,18516045,,,,,,,
SEAL,1861-32536,,,20896799,20887599,,,,,,,,,,
SEAL,1861-32538,QX,,20888636,20899240,20899147,,,,,,,,,
SEAL,1861-32540,,,6047166,18516362,6048134,18517409,18520381,,,,,,,
SEAL,1861-32546,X,,,,,,,,,,,,,
SEAL,1861-32552,,,20904216,20904305,20890603,20890690,20910236,20889684,20890781,,,,,
SEAL,1861-32557,,,20896565,20883438,20895296,20882152,,,,,,,,
SEAL,1861-32558,,,20886373,20886712,20895300,20885527,20912380,,,,,,,
SEAL,1861-32560,,,20884487,20885519,20885118,20886118,20885119,,,,,,,
SEAL,1861-32564,X,,,,,,,,,,,,,
SEAL,1861-32565,X,,,,,,,,,,,,,
BP,1861-32601,,,19454889,,,,,,,,,,,
BP,1861-32602,,,19454969,,,,,,,,,,,
BP,1861-32702,X,,,,,,,,,,,,,
BP,1861-32703,,,19459090,,,,,,,,,,,
BP,1861-32705,,19454968,19450252,19454968,5235221,,,,,,,,,
BP,1861-32711,,,5234729,,,,,,,,,,,
BP,1861-32713,,,5232226,19441512,19448995,19449034,19450425,18334706,,,,,,
BP,1861-32714,,,5236592,,,,,,,,,,,
BP,1861-32715,,,19433392,18325956,18334724,,,,,,,,,
BP,1861-32718,,,19431191,18319599,19428853,5227285,,,,,,,,
BP,1861-32719,,,19433398,18322700,,,,,,,,,,
BP,1861-32723,,,19454959,18348881,,,,,,,,,,
BP,1861-32739,,,18331047,18343402,,,,,,,,,,
BP,1861-32745,,,19452202,19451258,19447710,19444331,,,,,,,,
BP,1861-32750,,,18345626,,,,,,,,,,,
BP,1861-32754,,,20923506,,,,,,,,,,,
BP,1861-32770,,,19453478,,,,,,,,,,,
BP,1861-32779,X,,19453526,,,,,,,,,,,
BP,1861-32793,,,5236004,,,,,,,,,,,
BP,1861-32806,X,,,,,,,,,,,,,
BP,2161-56828,,,19412144,,,,,,,,,,,
BP,2771-80904,,,20938033,20928372,,,,,,,,,,
BP,2771-80908,Q,20914602,20914596,20914602,21069699,20922832,20923265,,,,,,,
