"motusRecvID","recvProjectID","receiverID","receiverType","recvDeployID","deploymentStatus","deploymentName","siteName","dtStart","dtEnd","tsStart","tsEnd","latitude","longitude","elevation","isMobile","macAddress","locationPrecision"
"383","1","SG-5113BBBK0173","SENSORGNOME","681","terminated","Crysler Park Marina","Crysler Park Marina","2014-07-31 00:00:00 +00:00","2016-11-19 00:00:00 +00:00","1406764800","1479513600","44.93670000","-75.08670000","","false","0","Exact"
"383","1","SG-5113BBBK0173","SENSORGNOME","3560","active","Crysler Park Marina","Crysler Park Marina","2016-11-19 00:00:00 +00:00","","1479513600","","44.93670000","-75.08670000","","false","0","Exact"
"384","1","SG-5113BBBK0324","SENSORGNOME","3732","terminated","Binbrook_Conservation_Area","Binbrook_Conservatio","2016-11-22 00:00:00 +00:00","2017-04-23 00:00:00 +00:00","1479772800","1492905600","43.09970000","-79.83090000","","false","0","Exact"
"384","1","SG-5113BBBK0324","SENSORGNOME","657","terminated","Binbrook_Conservation_Area","Binbrook_Conservatio","2014-04-25 00:00:00 +00:00","2014-08-11 00:00:00 +00:00","1398384000","1407715200","43.09970000","-79.83090000","","false","0","Exact"
"384","1","SG-5113BBBK0324","SENSORGNOME","755","terminated","Binbrook_Conservation_Area","Binbrook_Conservatio","2014-08-11 00:00:00 +00:00","2014-11-21 00:00:00 +00:00","1407715200","1416528000","43.09970000","-79.83090000","","false","0","Exact"
"384","1","SG-5113BBBK0324","SENSORGNOME","2029","terminated","Binbrook_Conservation_Area","Binbrook_Conservatio","2014-11-21 00:00:00 +00:00","2015-04-02 00:00:00 +00:00","1416528000","1427932800","43.09970000","-79.83090000","","false","0","Exact"
"384","1","SG-5113BBBK0324","SENSORGNOME","2107","terminated","Binbrook_Conservation_Area","Binbrook_Conservatio","2015-04-02 00:00:00 +00:00","2016-11-22 00:00:00 +00:00","1427932800","1479772800","43.09970000","-79.83090000","","false","0","Exact"
"385","1","SG-5113BBBK0333","SENSORGNOME","2163","terminated","Pinery_Provincial_Park","Pinery_Provincial_Pa","2015-04-24 12:40:00 +00:00","2016-11-18 00:00:00 +00:00","1429879199.9999998","1479427200","43.24970000","-81.82490000","","false","0","Exact"
"385","1","SG-5113BBBK0333","SENSORGNOME","764","terminated","Pinery_Provincial_Park","Pinery_Provincial_Pa","2014-08-15 00:00:00 +00:00","2014-11-12 00:00:00 +00:00","1408060800","1415750400","43.24970000","-81.82490000","","false","0","Exact"
"385","1","SG-5113BBBK0333","SENSORGNOME","647","terminated","Pinery_Provincial_Park","Pinery_Provincial_Pa","2014-04-17 00:00:00 +00:00","2014-08-15 00:00:00 +00:00","1397692800","1408060800","43.24970000","-81.82490000","","false","0","Exact"
"385","1","SG-5113BBBK0333","SENSORGNOME","2001","terminated","Pinery_Provincial_Park","Pinery_Provincial_Pa","2014-11-12 00:00:00 +00:00","2015-04-24 12:40:00 +00:00","1415750400","1429879199.9999998","43.24970000","-81.82490000","","false","0","Exact"
"385","1","SG-5113BBBK0333","SENSORGNOME","3760","terminated","Pinery_Provincial_Park","Pinery_Provincial_Pa","2016-11-18 00:00:00 +00:00","2017-04-09 00:00:00 +00:00","1479427200","1491696000","43.24970000","-81.82490000","","false","0","Exact"
"385","1","SG-5113BBBK0333","SENSORGNOME","3960","active","Pinery_Provincial_Park","Pinery_Provincial_Pa","2017-04-09 00:00:00 +00:00","","1491696000","","43.24970000","-81.82490000","","false","0","Exact"
"386","1","SG-5113BBBK0425","SENSORGNOME","4035","active","Cabot_Head","Cabot_Head","2017-04-14 14:40:00 +00:00","","1492180799.9999998","","45.24610000","-81.29860000","","false","0","Exact"
"386","1","SG-5113BBBK0425","SENSORGNOME","3734","terminated","Cabot_Head","Cabot_Head","2016-11-09 00:00:00 +00:00","2017-04-14 14:30:00 +00:00","1478649600","1492180200","45.24610000","-81.29860000","","false","0","Exact"
"386","1","SG-5113BBBK0425","SENSORGNOME","664","terminated","Cabot_Head","Cabot_Head","2014-04-30 00:00:00 +00:00","2014-06-07 00:00:00 +00:00","1398816000","1402099200","45.24610000","-81.29860000","","false","0","Exact"
"386","1","SG-5113BBBK0425","SENSORGNOME","737","terminated","Cabot_Head","Cabot_Head","2014-06-07 00:00:00 +00:00","2014-08-16 00:00:00 +00:00","1402099200","1408147200","45.24610000","-81.29860000","","false","0","Exact"
"386","1","SG-5113BBBK0425","SENSORGNOME","2115","terminated","Cabot_Head","Cabot_Head","2015-04-20 11:15:00 +00:00","2016-11-09 00:00:00 +00:00","1429528500","1478649600","45.24610000","-81.29860000","","false","0","Exact"
"387","1","SG-5113BBBK0460","SENSORGNOME","769","terminated","Brantford_Airport","Brantford_Airport","2014-08-25 00:00:00 +00:00","2016-12-19 13:00:00 +00:00","1408924800","1482152400","43.13450000","-80.34390000","","false","0","Exact"
"387","1","SG-5113BBBK0460","SENSORGNOME","640","terminated","Brantford_Airport","Brantford_Airport","2014-04-10 00:00:00 +00:00","2014-08-25 00:00:00 +00:00","1397088000","1408924800","43.13450000","-80.34390000","","false","0","Exact"
"387","1","SG-5113BBBK0460","SENSORGNOME","3932","active","Brantford_Airport","Brantford_Airport","2017-04-18 00:01:00 +00:00","","1492473659.9999998","","43.13450000","-80.34390000","","false","0","Exact"
"387","1","SG-5113BBBK0460","SENSORGNOME","3694","terminated","Brantford_Airport","Brantford_Airport","2016-12-19 13:00:00 +00:00","2017-04-18 00:00:00 +00:00","1482152400","1492473600","43.13450000","-80.34390000","","false","0","Exact"
"388","1","SG-5113BBBK0752","SENSORGNOME","3750","terminated","Luther_Marsh","Luther_Marsh","2016-11-15 00:00:00 +00:00","2017-05-05 15:30:00 +00:00","1479168000","1493998200","43.94740000","-80.46400000","","false","0","Exact"
"388","1","SG-5113BBBK0752","SENSORGNOME","3970","active","Luther_Marsh","Luther_Marsh","2017-05-05 16:00:00 +00:00","","1494000000","","43.94740000","-80.46400000","","false","0","Exact"
