tagID,tagProjectID,mfgID,dateBin,type,codeset,manufacturer,model,lifespan,nomFreq,offsetFreq,period,periodSD,pulseLen,tsSg,tagDeployID,sdID,deploymentStatus,dtStart,dtEnd,tsStart,tsEnd,deferSec,speciesID,speciesName,motusScientificName,motusEnglishName,motusFrenchName,bandNumber,markerNumber,markerType,latitude,longitude,elevation,sex,age,weight,wing,tarsus,culmen,bill,head,fatScore,comments
21939,109,5,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,0.24,11.2964,0.0002,2.5,1478194261,9903,,terminated,2016-08-03 10:30:00 +00:00,2016-08-09 09:20:00 +00:00,1470220200,1470734400,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32702,metal band,43.464508,-65.745912,2,0,1,,,,,,,,"Tag removed Aug 09, 2016"
21939,109,5,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,0.24,11.2964,0.0002,2.5,1478194261,9904,,active,2016-08-10 11:27:00 +00:00,,1470828420,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32713,metal band,43.464508,-65.745912,2,0,2,,,,,,,,
21940,109,6,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.1785,11.2962,0.0001,2.5,1478194276,9905,,active,2016-08-03 10:40:00 +00:00,,1470220800,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1811-65688,metal band,43.464508,-65.745912,2,4,1,,,,,,,,
21941,109,7,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.4995,22.592,0,2.5,1478194291,9906,,active,2016-08-03 11:00:00 +00:00,,1470222000,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32703,metal band,43.464508,-65.745912,2,5,1,,,,,,,,
21942,109,9,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,0.063,11.2965,1.78E-15,2.5,1478194305,9907,,active,2016-08-03 11:00:00 +00:00,,1470222000,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-31448,metal band,43.464508,-65.745912,2,4,1,,,,,,,,
21943,109,10,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.0337,11.2961,0.0002,2.5,1478194335,9908,,active,2016-08-03 11:39:00 +00:00,,1470224340,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,2161-56828,metal band,43.464508,-65.745912,2,0,2,,,,,,,,
21944,109,11,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.131,11.2964,0.0002,2.5,1478194358,9909,,active,2016-08-05 14:49:00 +00:00,,1470408540,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32711,metal band,43.464508,-65.745912,2,0,2,,,,,,,,
21946,109,13,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,0.078,11.2964,0.0002,2.5,1478194371,9911,,active,2016-08-04 11:39:00 +00:00,,1470310740,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32705,metal band,43.464508,-65.745912,2,5,5,,,,,,,,
21947,109,14,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.2277,11.2963,1.78E-15,2.5,1478194378,9912,,terminated,2016-08-06 10:19:00 +00:00,2016-08-10 11:27:00 +00:00,1470478740,1470828420,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32713,metal band,43.464508,-65.745912,2,0,2,,,,,,,,"Tag removed on  Aug 08, 2016 and replaced with Tag #005"
21947,109,14,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.2277,11.2963,1.78E-15,2.5,1478194378,9913,,active,2016-08-13 13:42:00 +00:00,,1471095720,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32739,metal band,43.464508,-65.745912,2,0,2,,,,,,,,
21948,109,15,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.3387,11.2963,0,2.5,1478194400,9914,,active,2016-08-06 11:52:00 +00:00,,1470484320,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32714,metal band,43.464508,-65.745912,2,0,1,,,,,,,,
21949,109,16,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.2357,11.2964,0.0002,2.5,1478194423,9915,,active,2016-08-07 10:54:00 +00:00,,1470567240,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32715,metal band,43.464508,-65.745912,2,4,2,,,,,,,,
21950,109,17,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,0.129,11.2954,0.0016,2.5,1478194445,9916,,active,2016-08-08 11:01:00 +00:00,,1470654060,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32719,metal band,43.464508,-65.745912,2,4,2,,,,,,,,
21951,109,18,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.1967,11.2954,0.0012,2.5,1478194467,9917,,active,2016-08-09 10:17:00 +00:00,,1470737820,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32723,metal band,43.464508,-65.745912,2,0,2,,,,,,,,
21952,109,19,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.914,11.2951,0.0012,2.5,1478194490,9918,,active,2016-08-07 13:22:00 +00:00,,1470576120,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32228,metal band,43.464508,-65.745912,2,4,2,,,,,,,,
21953,109,20,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.21,11.2961,0.0002,2.5,1478194512,9919,,active,2016-08-20 11:09:00 +00:00,,1471691340,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32535,metal band,43.395048,-66.013506,2,0,1,,,,,,,,
21954,109,21,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.2043,11.2955,0.0014,2.5,1478194519,9920,,active,2016-08-18 10:00:00 +00:00,,1471514400,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32513,metal band,43.395048,-66.013506,2,4,2,,,,,,,,
21955,109,22,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,0.205,11.2962,0,2.5,1478194542,9921,,active,2016-08-10 09:53:00 +00:00,,1470822780,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32175,metal band,43.464508,-65.745912,2,5,1,,,,,,,,
21956,109,23,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,0.0277,11.2964,0.0002,2.5,1478194564,9922,,active,2016-08-09 12:19:00 +00:00,,1470745140,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32727,metal band,43.4645,-65.7459,2,5,1,,,,,,,,
21957,109,24,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,0.12,11.2964,0.0002,2.5,1478194587,9923,,active,2016-08-08 09:51:00 +00:00,,1470649860,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32718,metal band,43.464508,-65.745912,2,0,2,,,,,,,,
21958,109,25,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.2437,11.2963,1.78E-15,2.5,1478194602,9924,,active,2016-08-19 10:27:00 +00:00,,1471602420,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32426,metal band,43.395048,-66.013506,2,0,1,,,,,,,,
21959,109,26,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,2.1753,11.2965,1.41E-09,2.5,1478194632,9925,,active,2016-08-18 10:01:00 +00:00,,1471514460,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32512,metal band,43.395048,-66.013506,2,0,2,,,,,,,,
21960,109,27,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,0.22,11.2964,0.0002,2.5,1478194654,9926,,active,2016-08-19 10:37:00 +00:00,,1471603020,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32528,metal band,43.395048,-66.013506,2,0,2,,,,,,,,
21961,109,28,2016-4,ID,Lotek4,Lotek,NTQB-3-2,,166.38,-0.1893,11.2963,1.78E-15,2.5,1478194676,9927,,active,2016-08-22 10:38:00 +00:00,,1471862280,,,15580,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,Grive à dos olive,,1861-32540,metal band,43.395048,-66.013506,2,0,2,,,,,,,,
